date,SWC_1_2_1,ebr,LE_PI_F,vp,ETrF_filtered,ETrF,LW_OUT,rso,input_G,SW_IN,SW_OUT,LW_IN,flux,WD,SWC_1_1_1,flux_corr,theta_mean,H_PI_F,energy,WS,ebc_cf,ebr_corr,NETRAD,T_SONIC,ebr_5day_clim,VPD_PI,H_corr,LE_corr,LE_subday_gaps,ET_fill,G_subday_gaps,ET_gap,H_subday_gaps,ET_corr,gridMET_prcp,ET,Rn_subday_gaps,ET_fill_val,gridMET_ETr
2013-08-31,19.929146841397852,0.9036557339970248,86.34577279905913,2.333015420078069,0.36090227632866734,0.36311989749590684,427.6531898494624,318.54547482458855,9.017020806451612,315.30427971034953,79.82786738844088,326.11520282056455,112.88594344623655,246.62625698883926,4.050524865591398,126.28803188467266,11.989835853494624,26.540170647177415,124.92140446774191,4.169924222470238,1.1153875682832521,1.0109398979522652,133.93842527419355,30.950974796130946,0.9064687465588687,1.1931283454973123,29.012746338685094,97.2752855459876,0.0,106.13266620832589,0.0,0.0,0.0,107.20233255509497,0.0,95.15528647118201,0.0,,293.30000500000006
2013-09-30,19.221826388888886,0.83115891081499,85.81150005486111,2.1768819277002858,0.4778051722947714,0.47548476045014126,410.41508979791666,264.47297011171617,1.0271887076388895,244.72456656944448,57.4834259388889,324.06270810694434,83.00083397569443,249.32842202430567,7.091580208333332,98.94919949794941,13.156703298611111,-2.810666079166668,99.86157026736116,3.46960248263889,1.188887808814672,0.9908636448739091,100.88875897499999,30.25639820555556,0.8680866743990434,1.1534977647916664,-4.325140100251783,103.2743395982012,0.0,111.62908734817769,0.0,0.0,0.0,110.23755038877611,17.5,91.59369272581014,0.0,,230.2000025
2013-10-31,,1.0540673767010622,54.7196045846774,,0.400297721830654,0.402931183050575,380.72314610013444,202.1735930909338,-1.5824598403897852,186.02347159946237,41.48862007661291,295.30909192809133,63.985323060483864,,,63.97388693819044,,9.265718475806452,60.703257187163985,,1.0005128561891712,1.0538789828187016,59.120797346774204,,0.8753837199382899,,9.277410343312681,54.696476594877744,0.0,61.01499236422838,83.0,0.0,0.0,59.89318386119494,0.0,59.9172857771327,0.0,,162.50000039999998
2013-11-30,,1.0012420686042125,32.720841961111105,,0.3858696039279107,0.426154031221551,359.86159678888896,151.46434941504066,-3.772771991319444,124.40438234722224,25.997407409027776,297.2518547701389,39.61915356805555,,,42.223231097199395,,6.8983116069444455,40.3901507390873,,1.0645942816650202,1.067051449604921,35.797232915972224,,0.8717778517994483,,7.306201048004643,34.91703004919477,0.0,35.81106644071091,86.0,0.0,0.0,36.96981714913264,29.5000001,34.64442662142515,0.0,,91.40000070000002
2013-12-31,31.600608870967744,1.0761646265801645,10.36256689986559,1.143625763273776,0.20458684462855836,0.20581495328024338,333.1204075639368,129.33954326551878,-5.707737716397849,110.28441377729884,20.63941570905173,264.08801431681036,28.325021606854843,192.82530726142468,13.957688172043005,28.086414161798626,22.779148521505373,17.962454706989252,26.475273731321842,1.9653433750000004,0.9924209581894312,1.067099112153654,20.61260482902299,18.09941377620968,0.9035190462858121,0.4104806838709678,17.617315921373816,10.46909824042481,0.0,11.532432380522412,0.0,0.0,0.0,11.409602218364148,11.000000100000001,11.293502715510717,36.0,,56.700000599999996
2014-01-31,30.173876344086022,1.0427477400727316,11.04730785080645,1.3351721187769285,0.14251755582044515,0.14944957977619544,348.2888903810484,142.7527333010115,-0.6303052345430108,117.69202380376343,21.5108871014785,282.6691709159947,32.52509812903226,199.22878295900537,11.186785954301072,31.11136964317371,20.680331149193552,21.477790278225807,31.19172248387097,1.7139096942204304,0.9565109659246853,0.9974239049882927,30.56141724932795,20.73588323521506,0.8531126268053332,0.5087380814516129,20.463151118108872,10.648218525064829,0.0,12.377961947594997,0.0,0.0,0.0,11.63699692192499,4.3000001,12.072949244641636,0.0,,86.00000060000002
2014-02-28,,,25.61197369717262,,0.38782972354106887,0.37812464231756565,,185.83258910775172,,,,,45.40680063318452,,,51.686642086503184,,19.794826936011905,,,1.1295669927210017,,,,0.8421267981146511,,22.732073469510357,28.954568616992837,0.0,30.306849848290494,91.0,0.0,0.0,28.629264860595406,109.4000011,25.323648744307498,806.0,,82.5000016
2014-03-31,40.685485215053774,,63.251947786962354,,0.5312119153046624,0.5307025656192152,,245.86478303629303,,,,,70.04744979032257,,25.318725470430103,78.00855722305576,33.002105342741935,6.795502003360215,,,1.1127326903234986,,,,0.8454174973703359,0.6412926418010755,7.251800016880834,70.75675720617492,0.0,76.82002683507113,322.0,0.0,0.0,77.54926651570973,50.700002,69.3282517437716,227.0,,144.40000009999997
2014-04-30,36.036445486111106,,108.06331321875001,1.8062869287158174,0.6916361094418112,0.6891579900342977,382.5498314694445,305.17183807170056,,272.28380012777785,65.16106481805556,305.6261077201389,104.89780082013887,247.23842203958333,23.92641944444444,130.93261892008468,29.981432465277784,-3.1655123986111104,,3.033598230555555,1.2471928531471685,,130.19901156041666,25.766184788194447,0.8228397776678028,0.7303712091666666,-3.883260604790385,134.81587952487504,0.0,145.1184654279477,460.0,0.0,0.0,143.250685530765,28.000000999999997,114.82363286487852,0.0,,210.0000039
2014-05-31,,,113.7862872594086,,0.4699681179962403,0.47302686946642025,412.28513063104845,345.6489929647082,,334.94134622446245,75.61442653091397,306.9293748638889,126.33787485819893,257.11585902755377,,147.51598823002544,,12.551587598790327,,4.184104557123656,1.166902427054046,,154.55192416041666,28.678786491935483,0.8310496085357117,,13.364828476401,134.1511597536244,0.0,147.32333641860035,506.0,0.0,0.0,147.7195099696819,0.0,125.30003785622453,1.0,,312.400003
2014-06-30,,,116.24897632708333,,0.41998424783519667,0.4212007744300983,428.8783402187501,361.62094753520836,,360.27413104097224,86.73884258055554,319.25960164166673,136.72390074861113,,,159.47777731824243,,20.474924421527774,,,1.1650855232488229,,163.9165498756944,,0.8626434201887005,,20.38946981784819,139.08830750039422,0.0,148.04653023457143,219.0,0.0,0.0,148.17618520868322,0.0,123.85329984427331,0.0,,355.0000079999999
2014-07-31,23.63957694892473,0.8067196805231897,115.26803249663979,,0.4803790837651195,0.4802627178926008,430.14768261290317,352.51663784356396,7.98630453561828,331.61974969690857,79.02903225336023,341.25396195631714,125.61487988373655,,7.237634408602152,155.9141770715224,15.43860567876344,10.346847387096773,155.71069222244626,,1.2367751542620797,1.0013068135923862,163.69699675806453,,0.8813505282360218,1.3979806821908605,11.928247861707272,143.98592920981514,0.0,160.1281319787348,0.0,0.0,0.0,158.67912467223337,0.0,127.0281775272077,0.0,,339.700007
2014-08-31,23.152118749999996,,94.29782420362905,,0.4288443511131053,0.428851888892811,,318.54547482458855,7.335032030913982,,,,103.31829754838711,,6.461620138888889,119.44497506095564,14.806869444444443,9.020473344758061,,,1.1551711316320288,,,,0.9064687465588687,1.2060449469444445,9.919577609133022,109.52539745182264,0.0,121.10931809571214,1.0,0.0,0.0,120.21796493041259,0.0,103.50910628579467,180.0,,285.40000499999996
2014-09-30,22.576314583333332,,68.4735930222222,,0.38628008984597095,0.38819390856802033,,264.47297011171617,3.4370061319444436,,,,79.25052299583334,,6.533723611111111,91.25522023954461,14.555019097222221,10.776929973611107,,,1.152653821310001,,,,0.8680866743990434,1.1624046520833338,12.301712844595396,78.95350739494921,0.0,83.69732365066113,0.0,0.0,0.0,83.74927292462694,10.1,72.63058861313412,437.0,,228.60000610000003
2014-10-31,22.207288978494617,0.8960550232203592,64.34889757392473,1.9955557312178014,0.4830891026812583,0.47202565800767493,394.1637724025537,202.1735930909338,-0.9106994247311827,180.0968387452957,40.25878136827958,320.4014617950269,60.02354158736557,241.11769252569445,7.621410954301076,70.14887485225601,14.914349966397852,-4.325355986559141,66.98644618010752,2.049996675694444,1.1577908063141111,1.0472099783237587,66.07574675537634,28.570168715277774,0.8753837199382899,1.048018213172043,-6.4786567214574715,76.6275315737135,0.0,86.7913884344074,0.0,0.0,0.0,84.36668787938554,11.3,70.84363630084206,0.0,,173.10000289999994
2014-11-30,27.651806249999996,0.9075833139958108,31.70959856388889,1.832936976735836,0.5126190009421676,0.5435587222059923,367.2042668763889,151.46434941504066,-4.21926094375,111.12022797569446,20.38949074375,315.74459339374994,39.47109301041666,201.08538090347227,11.51262534722222,43.34659881366175,19.582215798611113,7.761494446527779,43.49032469166668,1.821790590972222,1.108162440204209,0.9966952217757886,39.271063747916656,24.183326923611112,0.8717778517994483,0.43573656479166656,8.540043608575711,34.80655520508604,0.0,36.808748686955326,0.0,0.0,0.0,36.91924306977825,38.4000001,33.635121663855166,0.0,,73.40000048
2014-12-31,,,22.156069284946238,,0.5502663167519933,,,129.33954326551878,,,,,21.182582879032253,,,22.687760320723925,,-0.9734864059139783,,,1.0710966356786573,,,,0.9035190462858121,,-1.2698181668176332,23.957578487541557,0.0,22.071322096350617,322.0,0.0,0.0,26.211384234753126,203.0000001,24.238269048562337,321.0,,41.70000048
2015-01-31,49.55580981182795,0.9293596761104668,13.135358384408605,1.717947205153355,0.3394722512246786,0.3366599726400895,350.6290127909946,142.7527333010115,-2.287901311155914,95.54661849260754,16.56326164717742,306.6257364408603,34.63535953091398,174.52706607862902,32.284172379032256,38.14738419651903,40.91999109543011,21.500001146505376,37.26798183870968,1.4790222889784947,1.101000359271392,1.0235967260479861,34.98008052755376,21.699333293010753,0.8531126268053332,0.22776622493279575,23.327543678333818,14.819840518185208,0.0,16.441874442386016,0.0,0.0,0.0,16.212865929264805,0.0,14.367597967755644,0.0,,47.50000070000001
