date,theta_mean,H_PI_F,SWC_1_2_1,WS,NETRAD,LE_PI_F,vp,T_SONIC,LW_OUT,input_G,SW_IN,VPD_PI,SW_OUT,LW_IN,WD,SWC_1_1_1,G_subday_gaps,H_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,H_corr,ebc_cf,ebr_corr,LE_corr,ebr,ET,ET_corr,gridMET_ETr,gridMET_prcp,ETrF,ETrF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-01,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,130.17416046159485,,,,0.9123001826054798,,1.0961304393736437,0.9123001826054798,,,,,0.90000004,0.0,,,,False,
2013-01-02,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,130.65400935189373,,,,0.9070206617384502,,1.1025107168819506,0.9070206617384502,,,,,1.1,0.0,,,,False,
2013-01-03,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,131.1723018847876,,,,0.8987692911579893,,1.1126325852895835,0.8987692911579893,,,,,1.2,0.0,,,,False,
2013-01-04,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,131.7289140829832,,,,0.8934871132240361,,1.119210322342116,0.8934871132240361,,,,,1.0,0.0,,,,False,
2013-01-05,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,132.32371064391603,,,,0.8912946422938813,,1.1219634367220575,0.8912946422938813,,,,,1.1,3.0,,,,False,
2013-01-06,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,132.95654471387851,,,,0.885624341977267,,1.1291469222349682,0.885624341977267,,,,,0.4,16.0,,,,False,
2013-01-07,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,133.62725765502697,,,,0.8789614245083593,,1.1377063567486396,0.8789614245083593,,,,,1.0,0.0,,,,False,
2013-01-08,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,134.33567880673678,,,,0.8725749139192783,,1.146033405324909,0.8725749139192783,,,,,1.0,0.0,,,,False,
2013-01-09,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,135.0816252428241,,,,0.8672731181263779,,1.1530393126450869,0.8672731181263779,,,,,0.90000004,0.0,,,,False,
2013-01-10,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,135.86490152618515,,,,0.8611331965787395,,1.1612605389885964,0.8611331965787395,,,,,0.8,0.0,,,,False,
2013-01-11,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,136.6852994624302,,,,0.8559901339704971,,1.1682377638647718,0.8559901339704971,,,,,1.7,0.0,,,,False,
2013-01-12,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,137.54259785410787,,,,0.8519293306999363,,1.1738062817703558,0.8519293306999363,,,,,1.1,0.3,,,,False,
2013-01-13,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,138.43656225712425,,,,0.848081242760874,,1.1791323160792522,0.848081242760874,,,,,1.2,0.0,,,,False,
2013-01-14,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,139.36694474096137,,,,0.8489846717046622,,1.1778775675562159,0.8489846717046622,,,,,1.4,0.0,,,,False,
2013-01-15,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,140.33348365429293,,,,0.8471547853009148,,1.1804218276885416,0.8471547853009148,,,,,1.1,0.0,,,,False,
2013-01-16,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,141.3359033975791,,,,0.8459880296013538,,1.182049822231196,0.8459880296013538,,,,,1.4,0.0,,,,False,
2013-01-17,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,142.37391420419894,,,,0.8446848865152731,,1.1838734372595154,0.8446848865152731,,,,,1.8000001,0.0,,,,False,
2013-01-18,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,143.44721193164975,,,,0.8446046640124834,,1.1839858842944062,0.8446046640124834,,,,,1.8000001,0.0,,,,False,
2013-01-19,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,144.55547786430313,,,,0.8438666704307134,,1.185021325098188,0.8438666704307134,,,,,1.8000001,0.0,,,,False,
2013-01-20,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,145.6983785291671,,,,0.8426577050590005,,1.186721481327917,0.8426577050590005,,,,,1.7,0.0,,,,False,
2013-01-21,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,146.87556552604997,,,,0.8424637703541019,,1.186994663971939,0.8424637703541019,,,,,1.9,0.0,,,,False,
2013-01-22,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,148.08667537346912,,,,0.8411233846743439,,1.1888862183842006,0.8411233846743439,,,,,2.1000001,0.0,,,,False,
2013-01-23,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,149.33132937158516,,,,0.8381781613099432,,1.1930637735027052,0.8381781613099432,,,,,1.5,2.3,,,,False,
2013-01-24,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,150.60913348337786,,,,0.8361528807161384,,1.1959535427821906,0.8361528807161384,,,,,0.6,2.3,,,,False,
2013-01-25,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,151.9196782352098,,,,0.8319478536765819,,1.2019984132187547,0.8319478536765819,,,,,0.7,0.90000004,,,,False,
2013-01-26,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,153.2625386378501,,,,0.8278835197889568,,1.2078993917585399,0.8278835197889568,,,,,1.4,0.0,,,,False,
2013-01-27,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,154.63727412895363,,,,0.8237250817575187,,1.2139972694122378,0.8237250817575187,,,,,1.9,0.0,,,,False,
2013-01-28,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,156.04342853791283,,,,0.8215848810693814,,1.2171596910332527,0.8215848810693814,,,,,2.5,0.0,,,,False,
2013-01-29,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,157.48053007391385,,,,0.8176649313553096,,1.2229948499105414,0.8176649313553096,,,,,2.3,0.0,,,,False,
2013-01-30,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,158.94809133794874,,,,0.8138167933491314,,1.2287777890213616,0.8138167933491314,,,,,2.0,0.0,,,,False,
2013-01-31,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,160.4456093594443,,,,0.8095691667283542,,1.2352249086279043,0.8095691667283542,,,,,2.0,0.0,,,,False,
2013-02-01,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.97256565808698,,,,0.8083100279989147,,1.2371490707292607,0.8083100279989147,,,,,2.5,0.0,,,,False,
2013-02-02,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.5284263313296,,,,0.8084148822555811,,1.2369886081387713,0.8084148822555811,,,,,1.9,0.0,,,,False,
2013-02-03,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,165.1126421679811,,,,0.8090365986847347,,1.2360380255055432,0.8090365986847347,,,,,1.8000001,0.0,,,,False,
2013-02-04,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,166.7246487881901,,,,0.8094421583465858,,1.235418725956477,0.8094421583465858,,,,,2.1000001,0.0,,,,False,
2013-02-05,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,168.36386681004495,,,,0.8090368790693451,,1.2360375971368875,0.8090368790693451,,,,,1.9,0.0,,,,False,
2013-02-06,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,170.02970204292404,,,,0.8074114856251754,,1.238525854293123,0.8074114856251754,,,,,2.5,0.0,,,,False,
2013-02-07,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,171.72154570764545,,,,0.8077147275567089,,1.238060872091491,0.8077147275567089,,,,,2.1000001,0.5,,,,False,
2013-02-08,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,173.4387746833744,,,,0.808549151985845,,1.2367831906618667,0.808549151985845,,,,,2.6000001,0.0,,,,False,
2013-02-09,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,175.18075178116638,,,,0.8111641313644635,,1.2327961276072386,0.8111641313644635,,,,,2.6000001,0.0,,,,False,
2013-02-10,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,176.94682604393645,,,,0.8153662900610498,,1.2264426579680232,0.8153662900610498,,,,,2.1000001,0.0,,,,False,
2013-02-11,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,178.73633307256637,,,,0.820852817325217,,1.2182451943803294,0.820852817325217,,,,,2.5,0.0,,,,False,
2013-02-12,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,180.54859537777745,,,,0.8248751842079255,,1.2123046239537871,0.8248751842079255,,,,,2.0,0.0,,,,False,
2013-02-13,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,182.38292275732334,,,,0.829322237230124,,1.2058039144590253,0.829322237230124,,,,,1.8000001,0.0,,,,False,
2013-02-14,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,184.2386126979773,,,,0.8336050283806482,,1.1996088866481394,0.8336050283806482,,,,,2.6000001,0.0,,,,False,
2013-02-15,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,186.1149508017164,,,,0.8382120116688049,,1.1930155928081843,0.8382120116688049,,,,,3.2,0.0,,,,False,
2013-02-16,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,188.01121123543473,,,,0.8456015313565995,,1.1825901005591828,0.8456015313565995,,,,,2.8,0.0,,,,False,
2013-02-17,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,189.92665720344817,,,,0.852578284099722,,1.1729128206167574,0.852578284099722,,,,,2.8,0.0,,,,False,
2013-02-18,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,191.8605414419884,,,,0.8588851604634237,,1.164300008933017,0.8588851604634237,,,,,2.6000001,0.0,,,,False,
2013-02-19,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,193.8121067348195,,,,0.864645033451296,,1.1565439704296046,0.864645033451296,,,,,1.8000001,8.0,,,,False,
2013-02-20,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,195.7805864490534,,,,0.8702350993467353,,1.149114763068826,0.8702350993467353,,,,,3.4,0.0,,,,False,
2013-02-21,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,197.7652050901809,,,,0.8740453578829981,,1.1441053842126379,0.8740453578829981,,,,,3.6000001000000004,0.0,,,,False,
2013-02-22,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,199.7651788752821,,,,0.8767211537113859,,1.1406135186390143,0.8767211537113859,,,,,3.4,0.0,,,,False,
2013-02-23,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,201.77971632333063,,,,0.8793665582874556,,1.1371822030024374,0.8793665582874556,,,,,3.5,0.0,,,,False,
2013-02-24,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,203.80801886145787,,,,0.8813524572447107,,1.1346198581282747,0.8813524572447107,,,,,3.7,0.0,,,,False,
2013-02-25,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,205.84928144599925,,,,0.8843198620594364,,1.1308125520003176,0.8843198620594364,,,,,3.1000001,0.0,,,,False,
2013-02-26,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,207.90269319710552,,,,0.8858997877144261,,1.1287958456113263,0.8858997877144261,,,,,3.4,0.0,,,,False,
2013-02-27,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,209.96743804566412,,,,0.8828728356156277,,1.1326659510400492,0.8828728356156277,,,,,3.4,0.0,,,,False,
2013-02-28,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,212.04269539124243,,,,0.8817136142152887,,1.1341551087310637,0.8817136142152887,,,,,3.8,0.0,,,,False,
2013-03-01,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,214.12764076973494,,,,0.8780997603754211,,1.13882276835204,0.8780997603754211,,,,,3.6000001000000004,0.0,,,,False,
2013-03-02,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,216.2214465293719,,,,0.8742996356620863,,1.1437726372180446,0.8742996356620863,,,,,3.0,0.0,,,,False,
2013-03-03,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,218.32328251372033,,,,0.8700397089188491,,1.1493728271812391,0.8700397089188491,,,,,2.5,0.0,,,,False,
2013-03-04,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,220.43231675029534,,,,0.8663123854669537,,1.154318022893078,0.8663123854669537,,,,,3.2,0.0,,,,False,
2013-03-05,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,222.5477161433788,,,,0.8628019674342131,,1.1590145105646714,0.8628019674342131,,,,,3.7,0.0,,,,False,
2013-03-06,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,224.6686471696362,,,,0.8593229423651397,,1.163706856525523,0.8593229423651397,,,,,3.8,9.400001,,,,False,
2013-03-07,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,226.79427657511133,,,,0.8557477401375223,,1.16856867169675,0.8557477401375223,,,,,2.7,0.0,,,,False,
2013-03-08,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,228.92377207217663,,,,0.851953214344713,,1.173773375301082,0.851953214344713,,,,,3.6000001000000004,0.0,,,,False,
2013-03-09,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,231.05630303501624,,,,0.8489792203270231,,1.177885130821935,0.8489792203270231,,,,,5.0,0.0,,,,False,
2013-03-10,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,233.1910411922235,,,,0.8487767175491059,,1.1781661529165885,0.8487767175491059,,,,,4.3,0.0,,,,False,
2013-03-11,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,235.32716131510085,,,,0.8479902393888654,,1.1792588564706663,0.8479902393888654,,,,,4.1,0.0,,,,False,
